series,mean,std,min,max,n
pi_btc_krw,0.008937,0.026919,-0.324389,0.201297,2192
pi_eth_krw,0.009838,0.030526,-0.331818,0.234137,2192
pi_bnb_krw,0.004846,0.027693,-0.356041,0.103247,1680
pi_xvs_krw,0.010989,0.044929,-0.433346,0.292713,1904
pi_eth_btc,0.000836,0.008524,-0.026246,0.033246,2192
pi_bnb_btc,0.001091,0.015920,-0.053148,0.082279,1680
pi_xvs_btc,0.002570,0.024555,-0.161272,0.114551,1904
alpha_xvs_eth,0.001706,0.021568,-0.150276,0.119493,1904
alpha_bnb_eth,0.000711,0.013360,-0.052436,0.069554,1680
